,cbsacode,msa_name,Population,PATHOLOGY,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),GYNECOLOGICAL ONCOLOGY,EMERGENCY MEDICINE,HOSPITALIST,FAMILY PRACTICE,OBSTETRICS/GYNECOLOGY,PHYSICIAN ASSISTANT,GENERAL PRACTICE,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),DIAGNOSTIC RADIOLOGY,PODIATRY,INTERNAL MEDICINE,CLINICAL PSYCHOLOGIST,ANESTHESIOLOGY,PHYSICAL THERAPY,OPHTHALMOLOGY,PHYSICAL MEDICINE AND REHABILITATION,OTOLARYNGOLOGY,INFECTIOUS DISEASE,DERMATOLOGY,NEUROSURGERY,CHIROPRACTIC,PSYCHIATRY,OPTOMETRY,RADIATION ONCOLOGY,GENERAL SURGERY,OSTEOPATHIC MANIPULATIVE MEDICINE,GASTROENTEROLOGY,ORTHOPEDIC SURGERY,INTERVENTIONAL CARDIOLOGY,INTERVENTIONAL RADIOLOGY,CLINICAL SOCIAL WORKER,GERIATRIC MEDICINE,NURSE PRACTITIONER,HEMATOLOGY/ONCOLOGY,ORAL SURGERY,VASCULAR SURGERY,NEUROPSYCHIATRY,QUALIFIED AUDIOLOGIST,NEPHROLOGY,CRITICAL CARE (INTENSIVISTS),RHEUMATOLOGY,MAXILLOFACIAL SURGERY,PULMONARY DISEASE,PLASTIC AND RECONSTRUCTIVE SURGERY,ALLERGY/IMMUNOLOGY,THORACIC SURGERY,CARDIAC SURGERY,HAND SURGERY,NEUROLOGY,MEDICAL ONCOLOGY,CARDIAC ELECTROPHYSIOLOGY,PAIN MANAGEMENT,SPORTS MEDICINE,OCCUPATIONAL THERAPY,INTERVENTIONAL PAIN MANAGEMENT,CERTIFIED CLINICAL NURSE SPECIALIST (CNS),ENDOCRINOLOGY,COLORECTAL SURGERY (PROCTOLOGY),HEMATOLOGY,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY,ANESTHESIOLOGY ASSISTANT,NUCLEAR MEDICINE,UROLOGY,HOSPICE/PALLIATIVE CARE,CERTIFIED NURSE MIDWIFE (CNM),MENTAL HEALTH COUNSELOR,REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,PREVENTIVE MEDICINE,SURGICAL ONCOLOGY,ADDICTION MEDICINE,UNDEFINED PHYSICIAN TYPE (SPECIFY),QUALIFIED SPEECH LANGUAGE PATHOLOGIST,MARRIAGE AND FAMILY THERAPIST,GERIATRIC PSYCHIATRY,MEDICAL GENETICS AND GENOMICS,MICROGRAPHIC DERMATOLOGIC SURGERY (MDS),DENTIST,UNDERSEA AND HYPERBARIC MEDICINE,SLEEP MEDICINE,HEMATOPOIETIC CELL TRANSPLANTATION AND CELLULAR THERAPY,MEDICAL TOXICOLOGY,ADULT CONGENITAL HEART DISEASE (ACHD),UNDEFINED NON-PHYSICIAN TYPE (SPECIFY),PERIPHERAL VASCULAR DISEASE,ORAL AND MAXILLOFACIAL RADIOLOGY,DENTAL ANESTHESIOLOGY,PROSTHODONTICS,ORAL MEDICINE,ORAL AND MAXILLOFACIAL PATHOLOGY,OROFACIAL PAIN,log_Population,ALAND,Population_density,ADDICTION MEDICINE_HAS,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY_HAS,ALLERGY/IMMUNOLOGY_HAS,ANESTHESIOLOGY_HAS,ANESTHESIOLOGY ASSISTANT_HAS,CARDIAC ELECTROPHYSIOLOGY_HAS,CARDIAC SURGERY_HAS,CARDIOVASCULAR DISEASE (CARDIOLOGY)_HAS,CERTIFIED CLINICAL NURSE SPECIALIST (CNS)_HAS,CERTIFIED NURSE MIDWIFE (CNM)_HAS,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA)_HAS,CHIROPRACTIC_HAS,CLINICAL PSYCHOLOGIST_HAS,CLINICAL SOCIAL WORKER_HAS,COLORECTAL SURGERY (PROCTOLOGY)_HAS,CRITICAL CARE (INTENSIVISTS)_HAS,DERMATOLOGY_HAS,DIAGNOSTIC RADIOLOGY_HAS,EMERGENCY MEDICINE_HAS,ENDOCRINOLOGY_HAS,FAMILY PRACTICE_HAS,GASTROENTEROLOGY_HAS,GENERAL PRACTICE_HAS,GENERAL SURGERY_HAS,GERIATRIC MEDICINE_HAS,GYNECOLOGICAL ONCOLOGY_HAS,HAND SURGERY_HAS,HEMATOLOGY_HAS,HEMATOLOGY/ONCOLOGY_HAS,HOSPICE/PALLIATIVE CARE_HAS,INFECTIOUS DISEASE_HAS,INTERNAL MEDICINE_HAS,INTERVENTIONAL CARDIOLOGY_HAS,INTERVENTIONAL PAIN MANAGEMENT_HAS,INTERVENTIONAL RADIOLOGY_HAS,MARRIAGE AND FAMILY THERAPIST_HAS,MAXILLOFACIAL SURGERY_HAS,MEDICAL ONCOLOGY_HAS,MENTAL HEALTH COUNSELOR_HAS,MICROGRAPHIC DERMATOLOGIC SURGERY (MDS)_HAS,NEPHROLOGY_HAS,NEUROLOGY_HAS,NEUROSURGERY_HAS,NUCLEAR MEDICINE_HAS,NURSE PRACTITIONER_HAS,OBSTETRICS/GYNECOLOGY_HAS,OCCUPATIONAL THERAPY_HAS,OPHTHALMOLOGY_HAS,OPTOMETRY_HAS,ORAL SURGERY_HAS,ORTHOPEDIC SURGERY_HAS,OSTEOPATHIC MANIPULATIVE MEDICINE_HAS,OTOLARYNGOLOGY_HAS,PAIN MANAGEMENT_HAS,PATHOLOGY_HAS,PEDIATRIC MEDICINE_HAS,PHYSICAL MEDICINE AND REHABILITATION_HAS,PHYSICAL THERAPY_HAS,PHYSICIAN ASSISTANT_HAS,PLASTIC AND RECONSTRUCTIVE SURGERY_HAS,PODIATRY_HAS,PREVENTIVE MEDICINE_HAS,PSYCHIATRY_HAS,PULMONARY DISEASE_HAS,QUALIFIED AUDIOLOGIST_HAS,QUALIFIED SPEECH LANGUAGE PATHOLOGIST_HAS,RADIATION ONCOLOGY_HAS,REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL_HAS,RHEUMATOLOGY_HAS,SLEEP MEDICINE_HAS,SPORTS MEDICINE_HAS,SURGICAL ONCOLOGY_HAS,THORACIC SURGERY_HAS,UROLOGY_HAS,VASCULAR SURGERY_HAS
0,10100.0,"Aberdeen, SD",41790,2.0,27.0,0.0,4.0,3.0,11.0,7.0,24.0,0.0,1.0,3.0,4.0,3.0,21.0,3.0,9.0,20.0,2.0,0.0,4.0,0.0,3.0,1.0,13.0,4.0,18.0,1.0,8.0,0.0,0.0,8.0,3.0,1.0,9.0,0.0,54.0,6.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.640412355441962,7353004126,5.683391343713765e-06,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
1,10140.0,"Aberdeen, WA",77290,2.0,1.0,0.0,18.0,2.0,19.0,3.0,13.0,0.0,0.0,4.0,30.0,3.0,13.0,4.0,4.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,3.0,4.0,1.0,2.0,5.0,1.0,0.0,3.0,0.0,55.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.255319860100917,4924769828,1.5694134487375276e-05,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1
2,10180.0,"Abilene, TX",181591,4.0,77.0,0.0,24.0,3.0,87.0,15.0,103.0,4.0,3.0,11.0,15.0,10.0,76.0,4.0,25.0,45.0,10.0,5.0,10.0,2.0,6.0,15.0,10.0,10.0,19.0,2.0,19.0,0.0,9.0,46.0,4.0,0.0,11.0,0.0,201.0,12.0,1.0,0.0,0.0,14.0,7.0,2.0,4.0,0.0,3.0,5.0,3.0,2.0,2.0,2.0,11.0,2.0,2.0,5.0,3.0,9.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,13.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.109512184449853,7105669751,2.555578944186707e-05,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
3,10220.0,"Ada, OK",38396,2.0,11.0,0.0,34.0,2.0,40.0,9.0,44.0,1.0,3.0,5.0,39.0,4.0,28.0,0.0,5.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,8.0,6.0,10.0,0.0,10.0,0.0,1.0,3.0,4.0,0.0,5.0,0.0,63.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.555708566483428,1865705452,2.0579883045761717e-05,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
4,10300.0,"Adrian, MI",97520,11.0,31.0,0.0,3.0,1.0,20.0,4.0,31.0,0.0,0.0,18.0,0.0,6.0,21.0,1.0,3.0,28.0,6.0,0.0,1.0,1.0,3.0,2.0,31.0,9.0,12.0,2.0,10.0,0.0,0.0,3.0,5.0,0.0,30.0,0.0,56.0,3.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.487812764155153,1941553493,5.0227820326143336e-05,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
5,10420.0,"Akron, OH",698398,11.0,199.0,5.0,94.0,14.0,224.0,68.0,241.0,3.0,19.0,55.0,119.0,51.0,228.0,81.0,43.0,63.0,44.0,16.0,13.0,14.0,21.0,10.0,94.0,73.0,80.0,8.0,53.0,0.0,30.0,66.0,6.0,4.0,81.0,10.0,659.0,16.0,0.0,12.0,0.0,21.0,18.0,21.0,13.0,1.0,22.0,11.0,9.0,4.0,4.0,12.0,48.0,4.0,8.0,6.0,10.0,11.0,4.0,21.0,18.0,5.0,1.0,1.0,1.0,2.0,18.0,10.0,9.0,16.0,5.0,0.0,3.0,7.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.456544419814998,2331531037,0.00029954480078405235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
6,10460.0,"Alamogordo, NM",68835,1.0,29.0,0.0,2.0,2.0,18.0,6.0,4.0,5.0,0.0,3.0,23.0,6.0,15.0,3.0,5.0,18.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,5.0,3.0,6.0,0.0,2.0,7.0,0.0,1.0,14.0,0.0,70.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.139467615497043,17126455958,4.019220331912641e-06,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1
7,10480.0,"Alamosa, CO",27804,6.0,15.0,0.0,22.0,2.0,19.0,5.0,21.0,0.0,0.0,2.0,12.0,3.0,9.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,7.0,0.0,0.0,5.0,0.0,2.0,6.0,0.0,29.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.232935174220376,8385519229,3.3157159670976886e-06,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
8,10500.0,"Albany, GA",145508,5.0,35.0,0.0,17.0,6.0,39.0,14.0,33.0,0.0,1.0,7.0,21.0,5.0,57.0,1.0,11.0,22.0,10.0,7.0,1.0,1.0,7.0,2.0,10.0,6.0,16.0,2.0,14.0,0.0,3.0,14.0,0.0,0.0,7.0,0.0,153.0,4.0,0.0,4.0,0.0,1.0,5.0,7.0,3.0,0.0,4.0,2.0,4.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887986346900053,4120596142,3.5312366217324874e-05,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
9,10540.0,"Albany, OR",131496,1.0,20.0,0.0,9.0,3.0,65.0,11.0,60.0,0.0,0.0,0.0,11.0,3.0,41.0,8.0,7.0,14.0,7.0,0.0,3.0,0.0,4.0,0.0,14.0,9.0,20.0,0.0,9.0,0.0,3.0,3.0,0.0,0.0,13.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.786731711886361,5929797337,2.217546275646014e-05,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
